no,Player,pos,wt,birth_date,nationality,exp,college,year,team,result
17,Brent Barry,SG,185,31-Dec-71,us,9,Oregon State,2005,SAS,win
12,Bruce Bowen,SF,185,14-Jun-71,us,8,Cal State Fullerton,2005,SAS,win
23,Devin Brown,SG,220,30-Dec-78,us,2,Texas-San Antonio,2005,SAS,win
21,Tim Duncan,PF,250,25-Apr-76,vi,7,Wake Forest,2005,SAS,win
20,Manu Ginóbili,SG,205,28-Jul-77,ar,2,,2005,SAS,win
1,Dion Glover,SG,228,22-Oct-78,us,5,Georgia Tech,2005,SAS,win
5,Robert Horry,PF,240,25-Aug-70,us,12,Alabama,2005,SAS,win
43,Linton Johnson,SF,205,13-Jun-80,us,1,Tulane,2005,SAS,win
4,Sean Marks,PF,250,23-Aug-75,nz,4,California,2005,SAS,win
34,Tony Massenburg,PF,220,31-Jul-67,us,12,Maryland,2005,SAS,win
2,Nazr Mohammed,C,221,5-Sep-77,us,6,Kentucky,2005,SAS,win
8,Rasho Nesterović,C,248,30-May-76,si,6,,2005,SAS,win
9,Tony Parker,PG,185,17-May-82,be,3,,2005,SAS,win
3,Glenn Robinson,SF,225,10-Jan-73,us,10,Purdue,2005,SAS,win
31,Malik Rose,PF,250,23-Nov-74,us,8,Drexel,2005,SAS,win
14,Beno Udrih,PG,205,5-Jul-82,si,R,,2005,SAS,win
11,Mike Wilks,PG,185,7-May-79,us,2,Rice University,2005,SAS,win
5,Derek Anderson,SG,194,18-Jul-74,us,8,"Ohio State, Kentucky",2006,MIA,win
49,Shandon Anderson,SF,208,31-Dec-73,us,9,Georgia,2006,MIA,win
30,Earl Barron,C,250,14-Aug-81,us,R,Memphis,2006,MIA,win
51,Michael Doleac,C,262,15-Jun-77,us,7,Utah,2006,MIA,win
4,Gerald Fitch,PG,188,12-Aug-82,us,R,Kentucky,2006,MIA,win
40,Udonis Haslem,PF,235,9-Jun-80,us,2,Florida,2006,MIA,win
24,Jason Kapono,SF,213,4-Feb-81,us,2,UCLA,2006,MIA,win
33,Alonzo Mourning,C,240,8-Feb-70,us,12,Georgetown,2006,MIA,win
32,Shaquille O'Neal,C,325,6-Mar-72,us,13,LSU,2006,MIA,win
20,Gary Payton,PG,180,23-Jul-68,us,15,Oregon State,2006,MIA,win
42,James Posey,SF,215,13-Jan-77,us,6,Xavier,2006,MIA,win
25,Wayne Simien,PF,255,9-Mar-83,us,R,Kansas,2006,MIA,win
3,Dwyane Wade,SG,220,17-Jan-82,us,2,Marquette,2006,MIA,win
8,Antoine Walker,PF,224,12-Aug-76,us,9,Kentucky,2006,MIA,win
44,Matt Walsh,SG,205,2-Dec-82,us,R,Florida,2006,MIA,win
55,Jason Williams,PG,190,18-Nov-75,us,7,"Marshall, Florida",2006,MIA,win
