,No.,Player,Pos,Ht,Wt,Birth Date,Nationality,Exp,College,Year,Team,Result
0,30,Carlos Arroyo,PG,6-2,202,"July 30, 1979",pr,3,Florida International University,2005,DET,lost
1,1,Chauncey Billups,PG,6-3,202,"September 25, 1976",us,7,Colorado,2005,DET,lost
2,41,Elden Campbell,C,6-11,215,"July 23, 1968",us,14,Clemson,2005,DET,lost
3,44,Derrick Coleman,C,6-10,230,"June 21, 1967",us,14,Syracuse,2005,DET,lost
4,20,Carlos Delfino,SG,6-6,230,"August 29, 1982",ar,R,,2005,DET,lost
5,12,Ronald Dupree,SF,6-7,209,"January 26, 1981",us,1,LSU,2005,DET,lost
6,7,Anthony Goldwire,PG,6-1,182,"September 6, 1971",us,6,Houston,2005,DET,lost
7,8,Darvin Ham,SF,6-7,220,"July 23, 1973",us,7,Texas Tech,2005,DET,lost
8,32,Richard Hamilton,SG,6-6,185,"February 14, 1978",us,5,UConn,2005,DET,lost
9,10,Lindsey Hunter,SG,6-2,170,"December 3, 1970",us,11,"Alcorn State, Jackson State University",2005,DET,lost
10,5,Horace Jenkins,PG,6-1,180,"October 14, 1974",us,R,William Paterson University,2005,DET,lost
11,24,Antonio McDyess,PF,6-9,220,"September 7, 1974",us,8,Alabama,2005,DET,lost
12,31,Darko Miličić,C,7-0,250,"June 20, 1985",rs,1,,2005,DET,lost
13,7,Smush Parker,PG,6-4,190,"June 1, 1981",us,1,Fordham,2005,DET,lost
14,22,Tayshaun Prince,SF,6-9,212,"February 28, 1980",us,2,Kentucky,2005,DET,lost
15,3,Ben Wallace,C,6-9,240,"September 10, 1974",us,8,Virginia Union University,2005,DET,lost
16,36,Rasheed Wallace,PF,6-10,225,"September 17, 1974",us,9,UNC,2005,DET,lost
17,10,Darrell Armstrong,PG,6-0,170,"June 22, 1968",us,11,Fayetteville State University,2006,DAL,lost
18,13,Doug Christie,SG,6-6,200,"May 9, 1970",us,13,Pepperdine,2006,DAL,lost
19,25,Erick Dampier,C,6-11,265,"July 14, 1975",us,9,Mississippi State,2006,DAL,lost
20,6,Marquis Daniels,SG,6-6,200,"January 7, 1981",us,2,Auburn,2006,DAL,lost
21,7,DeSagana Diop,C,7-0,300,"January 30, 1982",sn,4,,2006,DAL,lost
22,44,Adrian Griffin,SG,6-5,217,"July 4, 1974",us,6,Seton Hall,2006,DAL,lost
23,34,Devin Harris,PG,6-3,185,"February 27, 1983",us,1,Wisconsin,2006,DAL,lost
24,5,Josh Howard,SF,6-7,210,"April 28, 1980",us,2,Wake Forest,2006,DAL,lost
25,28,Didier Ilunga-Mbenga,C,7-0,245,"December 30, 1980",cd,1,,2006,DAL,lost
26,1,Rawle Marshall,SF,6-9,190,"February 20, 1982",gy,R,"Ball State University, Oakland",2006,DAL,lost
27,41,Dirk Nowitzki,PF,7-0,245,"June 19, 1978",de,7,,2006,DAL,lost
28,24,Pavel Podkolzin,C,7-5,260,"January 15, 1985",ru,1,,2006,DAL,lost
29,33,Josh Powell,PF,6-9,225,"January 25, 1983",us,R,NC State,2006,DAL,lost
30,42,Jerry Stackhouse,SG,6-6,218,"November 5, 1974",us,10,UNC,2006,DAL,lost
31,31,Jason Terry,PG,6-2,185,"September 15, 1977",us,6,Arizona,2006,DAL,lost
32,2,Keith Van Horn,SF,6-10,220,"October 23, 1975",us,8,Utah,2006,DAL,lost
33,6,Shannon Brown,SG,6-4,205,"November 29, 1985",us,R,Michigan State,2007,CLE,lost
34,1,Daniel Gibson,PG,6-2,190,"February 27, 1986",us,R,Texas,2007,CLE,lost
35,90,Drew Gooden,PF,6-10,250,"September 24, 1981",us,4,Kansas,2007,CLE,lost
36,32,Larry Hughes,SG,6-5,184,"January 23, 1979",us,8,Saint Louis,2007,CLE,lost
37,11,Zydrunas Ilgauskas,C,7-3,238,"June 5, 1975",lt,8,,2007,CLE,lost
38,23,LeBron James,SF,6-9,250,"December 30, 1984",us,3,,2007,CLE,lost
39,19,Damon Jones,PG,6-3,185,"August 25, 1976",us,8,Houston,2007,CLE,lost
40,27,Dwayne Jones,PF,6-11,250,"June 9, 1983",us,1,Saint Joseph's,2007,CLE,lost
41,24,Donyell Marshall,PF,6-9,218,"May 18, 1973",us,12,UConn,2007,CLE,lost
42,14,Ira Newble,SF,6-7,220,"January 20, 1975",us,6,Miami University,2007,CLE,lost
43,3,Sasha Pavlović,SG,6-8,220,"November 15, 1983",me,3,,2007,CLE,lost
44,31,Scot Pollard,C,6-11,265,"February 12, 1975",us,9,Kansas,2007,CLE,lost
45,20,Eric Snow,PG,6-3,190,"April 24, 1973",us,11,Michigan State,2007,CLE,lost
46,17,Anderson Varejão,C,6-10,273,"September 28, 1982",br,2,,2007,CLE,lost
47,4,David Wesley,SG,6-0,190,"November 14, 1970",us,13,Baylor,2007,CLE,lost
48,3,Trevor Ariza,SF,6-8,215,"June 30, 1985",us,3,UCLA,2008,LAL,lost
49,54,Kwame Brown,C,6-11,270,"March 10, 1982",us,6,,2008,LAL,lost
50,24,Kobe Bryant,SG,6-6,212,"August 23, 1978",us,11,,2008,LAL,lost
51,17,Andrew Bynum,C,7-0,285,"October 27, 1987",us,2,,2008,LAL,lost
52,43,Brian Cook,PF,6-9,234,"December 4, 1980",us,4,Illinois,2008,LAL,lost
53,1,Javaris Crittenton,SG,6-5,200,"December 31, 1987",us,R,Georgia Tech,2008,LAL,lost
54,6,Maurice Evans,SG,6-5,220,"November 8, 1978",us,4,"Wichita State, Texas",2008,LAL,lost
55,5,Jordan Farmar,PG,6-2,180,"November 30, 1986",us,1,UCLA,2008,LAL,lost
56,2,Derek Fisher,PG,6-1,200,"August 9, 1974",us,11,Little Rock,2008,LAL,lost
57,16,Pau Gasol,C,7-0,250,"July 6, 1980",es,6,,2008,LAL,lost
58,28,Didier Ilunga-Mbenga,C,7-0,245,"December 30, 1980",cd,3,,2008,LAL,lost
59,11,Coby Karl,SG,6-5,215,"March 6, 1983",us,R,Boise State,2008,LAL,lost
60,31,Chris Mihm,C,7-0,265,"July 16, 1979",us,6,Texas,2008,LAL,lost
61,14,Ira Newble,SF,6-7,220,"January 20, 1975",us,7,Miami University,2008,LAL,lost
62,7,Lamar Odom,PF,6-10,220,"November 6, 1979",us,8,Rhode Island,2008,LAL,lost
63,10,Vladimir Radmanović,SF,6-10,227,"November 19, 1980",ba,6,,2008,LAL,lost
64,21,Ronny Turiaf,C,6-10,249,"January 13, 1983",mq,2,Gonzaga,2008,LAL,lost
65,18,Sasha Vujačić,SG,6-7,195,"March 8, 1984",si,3,,2008,LAL,lost
66,4,Luke Walton,SF,6-8,235,"March 28, 1980",us,4,Arizona,2008,LAL,lost
67,1,Rafer Alston,PG,6-2,171,"July 24, 1976",us,9,Fresno State,2009,ORL,lost
68,4,Tony Battie,PF,6-11,230,"February 11, 1976",us,10,Texas Tech,2009,ORL,lost
69,10,Keith Bogans,SG,6-5,215,"May 12, 1980",us,5,Kentucky,2009,ORL,lost
70,34,Brian Cook,PF,6-9,234,"December 4, 1980",us,5,Illinois,2009,ORL,lost
71,31,Adonal Foyle,C,6-10,250,"March 9, 1975",vc,11,Colgate,2009,ORL,lost
72,13,Marcin Gortat,PF,6-11,240,"February 17, 1984",pl,1,,2009,ORL,lost
73,12,Dwight Howard,C,6-10,265,"December 8, 1985",us,4,,2009,ORL,lost
74,8,Anthony Johnson,PG,6-3,190,"October 2, 1974",us,11,College of Charleston,2009,ORL,lost
75,11,Courtney Lee,SG,6-5,215,"October 3, 1985",us,R,Western Kentucky,2009,ORL,lost
76,9,Rashard Lewis,PF,6-10,215,"August 8, 1979",us,10,,2009,ORL,lost
77,10,Tyronn Lue,PG,6-0,175,"May 3, 1977",us,10,Nebraska,2009,ORL,lost
78,14,Jameer Nelson,PG,6-0,190,"February 9, 1982",us,4,Saint Joseph's,2009,ORL,lost
79,20,Mickaël Piétrus,SG,6-6,215,"February 7, 1982",gp,5,,2009,ORL,lost
80,7,J.J. Redick,SG,6-3,200,"June 24, 1984",us,2,Duke,2009,ORL,lost
81,32,Jeremy Richardson,SF,6-6,185,"February 11, 1984",us,2,Delta State University,2009,ORL,lost
82,15,Hedo Türkoğlu,SF,6-10,220,"March 19, 1979",tr,8,,2009,ORL,lost
83,20,Ray Allen,SG,6-5,205,"July 20, 1975",us,13,UConn,2010,BOS,lost
84,42,Tony Allen,SG,6-4,213,"January 11, 1982",us,5,"Butler County Community College, Oklahoma State",2010,BOS,lost
85,7,Marquis Daniels,SF,6-6,200,"January 7, 1981",us,6,Auburn,2010,BOS,lost
86,11,Glen Davis,PF,6-9,289,"January 1, 1986",us,2,LSU,2010,BOS,lost
87,40,Michael Finley,SF,6-7,215,"March 6, 1973",us,14,Wisconsin,2010,BOS,lost
