,No.,Player,Pos,Ht,Wt,Birth Date,Nationality,Exp,College,Year,Team,Result
0,17,Brent Barry,SG,6-6,185,"December 31, 1971",us,9,Oregon State,2005,SAS,win
1,12,Bruce Bowen,SF,6-7,185,"June 14, 1971",us,8,Cal State Fullerton,2005,SAS,win
2,23,Devin Brown,SG,6-5,220,"December 30, 1978",us,2,Texas-San Antonio,2005,SAS,win
3,21,Tim Duncan,PF,6-11,250,"April 25, 1976",vi,7,Wake Forest,2005,SAS,win
4,20,Manu Ginóbili,SG,6-6,205,"July 28, 1977",ar,2,,2005,SAS,win
5,1,Dion Glover,SG,6-5,228,"October 22, 1978",us,5,Georgia Tech,2005,SAS,win
6,5,Robert Horry,PF,6-10,240,"August 25, 1970",us,12,Alabama,2005,SAS,win
7,43,Linton Johnson,SF,6-8,205,"June 13, 1980",us,1,Tulane,2005,SAS,win
8,4,Sean Marks,PF,6-10,250,"August 23, 1975",nz,4,California,2005,SAS,win
9,34,Tony Massenburg,PF,6-9,220,"July 31, 1967",us,12,Maryland,2005,SAS,win
10,2,Nazr Mohammed,C,6-10,221,"September 5, 1977",us,6,Kentucky,2005,SAS,win
11,8,Rasho Nesterović,C,7-0,248,"May 30, 1976",si,6,,2005,SAS,win
12,9,Tony Parker,PG,6-2,185,"May 17, 1982",be,3,,2005,SAS,win
13,3,Glenn Robinson,SF,6-7,225,"January 10, 1973",us,10,Purdue,2005,SAS,win
14,31,Malik Rose,PF,6-7,250,"November 23, 1974",us,8,Drexel,2005,SAS,win
15,14,Beno Udrih,PG,6-3,205,"July 5, 1982",si,R,,2005,SAS,win
16,11,Mike Wilks,PG,5-10,185,"May 7, 1979",us,2,Rice University,2005,SAS,win
17,5,Derek Anderson,SG,6-5,194,"July 18, 1974",us,8,"Ohio State, Kentucky",2006,MIA,win
18,49,Shandon Anderson,SF,6-6,208,"December 31, 1973",us,9,Georgia,2006,MIA,win
19,30,Earl Barron,C,7-0,250,"August 14, 1981",us,R,Memphis,2006,MIA,win
20,51,Michael Doleac,C,6-11,262,"June 15, 1977",us,7,Utah,2006,MIA,win
21,4,Gerald Fitch,PG,6-3,188,"August 12, 1982",us,R,Kentucky,2006,MIA,win
22,40,Udonis Haslem,PF,6-8,235,"June 9, 1980",us,2,Florida,2006,MIA,win
