,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College,Year,Team
0,11,Jeff Ayres,PF,6-9,240,"April 29, 1987",us,3,Arizona State,2014,San Antonio Spurs
1,16,Aron Baynes,C,6-10,260,"December 9, 1986",nz,1,Washington State,2014,San Antonio Spurs
2,3,Marco Belinelli,SF,6-5,220,"March 25, 1986",it,6,,2014,San Antonio Spurs
3,15,Matt Bonner,PF,6-10,235,"April 5, 1980",us,9,Florida,2014,San Antonio Spurs
4,1,Shannon Brown,SG,6-4,205,"November 29, 1985",us,7,Michigan State,2014,San Antonio Spurs
5,23,Austin Daye,SF,6-11,220,"June 5, 1988",us,4,Gonzaga,2014,San Antonio Spurs
6,25,Nando De Colo,SF,6-5,200,"June 23, 1987",fr,1,,2014,San Antonio Spurs
7,33,Boris Diaw,PF,6-8,250,"April 16, 1982",fr,10,,2014,San Antonio Spurs
8,21,Tim Duncan,C,6-11,250,"April 25, 1976",vi,16,Wake Forest,2014,San Antonio Spurs
9,20,Manu Ginóbili,SG,6-6,205,"July 28, 1977",ar,11,,2014,San Antonio Spurs
10,4,Danny Green,SG,6-6,215,"June 22, 1987",us,4,UNC,2014,San Antonio Spurs
11,7,Damion James,SF,6-7,225,"October 7, 1987",us,3,Texas,2014,San Antonio Spurs
12,7,Othyus Jeffers,SG,6-5,200,"August 5, 1985",us,2,"University of Illinois at Chicago, Robert Morris University (IL)",2014,San Antonio Spurs
13,5,Cory Joseph,SG,6-3,200,"August 20, 1991",ca,2,Texas,2014,San Antonio Spurs
14,2,Kawhi Leonard,SF,6-7,225,"June 29, 1991",us,2,San Diego State,2014,San Antonio Spurs
15,8,Patty Mills,PG,6-1,180,"August 11, 1988",au,4,Saint Mary's,2014,San Antonio Spurs
16,9,Tony Parker,PG,6-2,185,"May 17, 1982",be,12,,2014,San Antonio Spurs
17,22,Tiago Splitter,C,6-11,245,"January 1, 1985",br,3,,2014,San Antonio Spurs
18,24,Malcolm Thomas,PF,6-9,225,"November 8, 1988",us,2,"Pepperdine, San Diego State",2014,San Antonio Spurs
